Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
928,Kelly Stinnett,26,MIL,AL,14,29,26,1,2,0,0,0,0,0,0,2,11,.077,.172,.077,.249,-34,2,0,1,0,0,0,2/DH,stinnke01
929,Kevin Stocker#,26,PHI,NL,119,452,394,46,100,22,6,5,41,6,4,43,89,.254,.336,.378,.714,90,149,6,8,3,4,9,*6/H,stockke01
930,Todd Stottlemyre*,31,STL,NL,34,82,66,8,15,0,0,0,2,1,1,7,27,.227,.301,.227,.529,43,15,0,0,9,0,0,1,stottto01
931,Doug Strange#,32,SEA,AL,88,200,183,19,43,7,1,3,23,1,0,14,31,.235,.290,.333,.623,58,61,3,1,0,2,0,H5D7/349,strando01
932,Darryl Strawberry*,34,NYY,AL,63,237,202,35,53,13,0,11,36,6,5,31,55,.262,.359,.490,.849,112,99,3,1,0,3,5,D7/H9,strawda01
933,Tanyon Sturtze,25,CHC,NL,6,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0,/1,sturtta01
934,Chris Stynes,23,KCR,AL,36,95,92,8,27,6,0,0,6,5,2,2,5,.293,.309,.359,.667,69,33,1,0,1,0,0,7H/4D5,stynech01
935,Scott Sullivan,25,CIN,NL,7,1,1,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1,sullisc01
936,B.J. Surhoff*,31,BAL,AL,143,590,537,74,157,27,6,21,82,0,1,47,79,.292,.352,.482,.834,109,259,7,3,2,1,8,57D/H3,surhob.01
937,Dale Sveum#,32,PIT,NL,12,40,34,9,12,5,0,1,5,0,0,6,6,.353,.450,.588,1.038,169,20,0,0,0,0,0,5/H,sveumda01
938,Dave Swartzbaugh,28,CHC,NL,6,7,6,0,0,0,0,0,0,0,0,1,3,.000,.143,.000,.143,-58,0,0,0,0,0,0,/1,swartda01
939,Mark Sweeney*,26,STL,NL,98,209,170,32,45,9,0,3,22,3,0,33,29,.265,.387,.371,.758,103,63,4,1,5,0,2,H73/9,sweenma01
940,Mike Sweeney,22,KCR,AL,50,190,165,23,46,10,0,4,24,1,2,18,21,.279,.358,.412,.770,96,68,7,4,0,3,0,2D/H,sweenmi01
941,Bill Swift,34,COL,NL,7,6,6,0,2,0,0,0,0,0,0,0,1,.333,.333,.333,.667,63,2,0,0,0,0,0,/1,swiftbi02
942,Greg Swindell,31,TOT,MLB,8,6,6,0,2,1,0,0,0,0,0,0,1,.333,.333,.500,.833,125,3,0,0,0,0,0,1,swindgr01
943,Greg Swindell,31,HOU,NL,8,6,6,0,2,1,0,0,0,0,0,0,1,.333,.333,.500,.833,125,3,0,0,0,0,0,/1,swindgr01
944,Jeff Tabaka,32,HOU,NL,18,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,tabakje01
945,Tony Tarasco*,25,BAL,AL,31,92,84,14,20,3,0,1,9,5,3,7,15,.238,.297,.310,.606,54,26,1,0,1,0,0,9/HD8,tarasto01
946,Danny Tartabull,33,CHW,AL,132,541,472,58,120,23,3,27,101,1,2,64,128,.254,.340,.487,.827,111,230,10,0,0,5,4,*9D/H,tartada01
947,Jim Tatum,28,TOT,MLB,7,11,11,1,1,0,0,0,0,0,0,0,3,.091,.091,.091,.182,-53,1,0,0,0,0,0,/H5,tatumji01
948,Jim Tatum,28,BOS,AL,2,8,8,1,1,0,0,0,0,0,0,0,2,.125,.125,.125,.250,-36,1,0,0,0,0,0,/5,tatumji01
949,Jim Tatum,28,SDP,NL,5,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H5,tatumji01
950,Ed Taubensee*,27,CIN,NL,108,359,327,46,95,20,0,12,48,3,4,26,64,.291,.338,.462,.800,109,151,4,0,1,5,5,2H,taubeed01
951,Jesus Tavarez#,25,FLA,NL,98,124,114,14,25,3,0,0,6,5,1,7,18,.219,.264,.246,.510,38,28,2,0,3,0,0,H879,tavarje01
952,Amaury Telemaco,22,CHC,NL,25,34,29,1,3,0,0,0,1,0,0,1,15,.103,.133,.103,.237,-37,3,0,0,4,0,0,1,telemam01
953,Mickey Tettleton#,35,TEX,AL,143,599,491,78,121,26,1,24,83,2,1,95,137,.246,.366,.450,.816,102,221,12,3,1,9,8,*D3/H,tettlmi01
954,Bob Tewksbury,35,SDP,NL,36,76,65,1,2,1,0,0,2,0,0,3,27,.031,.074,.046,.120,-67,3,1,0,8,0,0,1,tewksbo01
955,Tom Thobe*,26,ATL,NL,4,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1,thobeto01
956,Frank Thomas,28,CHW,AL,141,649,527,110,184,26,0,40,134,1,1,109,70,.349,.459,.626,1.085,178,330,25,5,0,8,26,*3/H,thomafr04
957,Larry Thomas,26,CHW,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,thomala01
958,Jim Thome*,25,CLE,AL,151,636,505,122,157,28,5,38,116,2,2,123,141,.311,.450,.612,1.062,167,309,13,6,0,2,8,*5/HD,thomeji01
959,Jason Thompson*,25,SDP,NL,13,51,49,4,11,4,0,2,6,0,0,1,14,.224,.235,.429,.664,75,21,0,0,0,1,0,3,thompja02
960,Mark Thompson,25,COL,NL,34,64,58,3,8,3,0,0,2,0,0,1,21,.138,.153,.190,.342,-17,11,1,0,5,0,0,1,thompma01
961,Milt Thompson*,37,TOT,NL,62,73,66,3,7,2,0,0,3,1,1,7,13,.106,.192,.136,.328,-11,9,1,0,0,0,0,H7,thompmi02
962,Milt Thompson*,37,LAD,NL,48,57,51,2,6,1,0,0,1,1,1,6,10,.118,.211,.137,.348,-3,7,1,0,0,0,0,H7,thompmi02
963,Milt Thompson*,37,COL,NL,14,16,15,1,1,1,0,0,2,0,0,1,3,.067,.125,.133,.258,-37,2,0,0,0,0,0,H/7,thompmi02
964,Robby Thompson,34,SFG,NL,63,259,227,35,48,11,1,5,21,2,2,24,69,.211,.301,.335,.636,72,76,6,5,3,0,0,4/H,thompro01
965,Ryan Thompson,28,CLE,AL,8,23,22,2,7,0,0,1,5,0,0,1,6,.318,.348,.455,.802,102,10,0,0,0,0,0,/8H,thompry01
966,Ozzie Timmons,25,CHC,NL,65,157,140,18,28,4,0,7,16,1,0,15,30,.200,.282,.379,.661,71,53,1,1,1,0,0,H79,timmooz01
967,Lee Tinsley#,27,TOT,MLB,123,266,244,29,54,6,1,3,16,8,12,17,78,.221,.277,.291,.567,45,71,6,2,2,1,0,8H7/D,tinslle01
968,Lee Tinsley#,27,PHI,NL,31,57,52,1,7,0,0,0,2,2,4,4,22,.135,.196,.135,.331,-10,7,1,0,1,0,0,7H/8,tinslle01
969,Lee Tinsley#,27,BOS,AL,92,209,192,28,47,6,1,3,14,6,8,13,56,.245,.298,.333,.631,59,64,5,2,1,1,0,8H/7D,tinslle01
970,Andy Tomberlin*,29,NYM,NL,63,76,66,12,17,4,0,3,10,0,0,9,27,.258,.355,.455,.810,117,30,0,1,0,0,0,H/793,tombean01
971,Steve Trachsel,25,CHC,NL,31,73,66,3,7,2,0,1,5,0,0,1,20,.106,.119,.182,.301,-22,12,0,0,6,0,0,1,trachst01
972,Alan Trammell,38,DET,AL,66,207,193,16,45,2,0,1,16,6,0,10,27,.233,.267,.259,.526,34,50,3,0,1,3,0,64H/57,trammal01
973,Ricky Trlicek,27,NYM,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,trlicri01
974,Michael Tucker*,25,KCR,AL,108,393,339,55,88,18,4,12,53,10,4,40,69,.260,.346,.442,.789,99,150,7,7,3,4,1,97H/3D,tuckemi01
975,Chris Turner,27,CAL,AL,4,5,3,1,1,0,0,0,1,0,0,1,0,.333,.400,.333,.733,91,1,0,0,0,1,0,/27H,turnech01
976,Tim Unroe,25,MIL,AL,14,20,16,5,3,0,0,0,0,0,1,4,5,.188,.350,.188,.538,40,3,0,0,0,0,0,3/5HD7,unroeti01
977,Tom Urbani*,28,TOT,MLB,5,6,6,0,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-11,1,0,0,0,0,0,1/H,urbanto01
978,Tom Urbani*,28,STL,NL,5,6,6,0,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-11,1,0,0,0,0,0,/1H,urbanto01
979,Ugueth Urbina,22,MON,NL,33,34,29,3,3,0,0,0,1,0,0,2,17,.103,.161,.103,.265,-29,3,0,0,3,0,0,1,urbinug01
980,Marc Valdes,24,FLA,NL,11,15,14,0,0,0,0,0,0,0,0,1,2,.000,.067,.000,.067,-80,0,0,0,0,0,0,1,valdema01
981,Pedro Valdes*,23,CHC,NL,9,9,8,2,1,1,0,0,1,0,0,1,5,.125,.222,.250,.472,24,2,0,0,0,0,0,/H9,valdepe01
982,Ismael Valdez,22,LAD,NL,33,84,70,6,10,1,0,0,2,0,0,1,25,.143,.155,.157,.312,-15,11,1,0,13,0,0,1,valdeis01
983,John Valentin,29,BOS,AL,131,606,527,84,156,29,3,13,59,9,10,63,59,.296,.374,.436,.811,104,230,15,7,2,7,0,*65/HD,valenjo02
